"UserId","Level","Showcases","Comments","Badges"
250,15,1,5,10
251,4,0,14,3
252,12,1,21,7
253,41,4,20,39
254,36,3,36,20
255,11,1,22,6
256,111,4,201,86
257,11,0,8,6
258,6,0,0,4
259,46,4,32,57
260,13,1,57,10
261,3,0,1,3
262,40,4,136,33
263,13,1,70,6
264,102,2,150,146
265,6,0,1,3
266,64,6,323,106
267,1,0,0,1
268,11,1,11,7
269,43,4,259,65
270,0,0,0,2
271,4,0,3,3
272,10,1,18,6
273,3,0,0,3
274,12,1,2,5
275,16,0,0,16
276,28,2,1,24
277,105,0,167,246
278,5,0,2,4
279,16,1,29,16
280,8,0,1,3
281,2,0,3,2
282,30,3,98,32
283,27,2,43,23
284,10,1,4,8
285,31,2,2,18
286,8,0,1,3
287,53,4,241,47
288,6,0,14,4
289,200,2,73,465
290,4,0,3,4
291,25,1,15,20
292,3,0,11,3
293,5,0,4,4
294,66,4,95,101
295,20,2,6,19
296,16,0,388,7
297,4,0,0,4
298,9,0,6,4
299,14,0,2,10
300,9,0,16,6
301,81,6,136,117
302,5,0,5,3
303,100,5,20,537
304,130,6,232,288
305,8,0,10,4
306,4,0,0,3
307,4,0,1,3
308,5,0,1,2
309,50,5,7142,34
310,21,2,16,18
311,1,0,1,1
312,32,3,210,44
313,11,1,3,8
314,6,0,0,2
315,62,6,179,137
316,53,5,74,75
317,3,0,0,3
318,80,7,243,90
319,33,3,43,25
320,26,2,12,28
321,37,3,0,34
322,10,1,15,6
323,7,0,4,6
324,10,0,2,8
325,5,0,10,3
326,74,7,522,139
327,17,1,12,15
328,52,5,22,68
329,1,0,1,2
330,13,1,38,11
331,7,0,6,3
332,92,2,63,360
333,5,0,44,4
334,22,2,17,17
335,12,1,45,9
336,4,0,0,0
337,0,1,38,23
338,1,0,0,2
339,9,0,0,6
340,3,0,0,3
341,6,0,5,3
342,3,0,4,3
343,9,0,10,3
344,0,0,3,1
345,21,2,2,15
346,3,0,0,3
347,9,0,2,5
348,12,1,27,7
349,103,10,280,336
350,10,1,12,6
351,33,3,32,28
352,16,1,30,15
353,14,1,9,10
354,240,14,645,594
355,6,0,4,4
356,161,10,3281,431
357,13,1,25,12
358,4,0,4,4
359,64,6,38,106
360,54,4,7,45
361,4,0,2,3
362,42,3,834,32
363,102,10,0,121
364,40,4,10,27
365,15,1,1,11
366,16,1,0,11
367,4,0,0,4
368,4,0,0,2
369,3,0,0,3
370,11,1,34,8
371,13,1,24,10
372,9,0,4,5
373,12,1,7,11
374,7,0,2,4
375,3,0,0,3
376,75,7,70,81
377,4,0,4,3
378,130,13,1020,631
379,10,0,7,9
380,360,10,2503,557
381,23,2,27,22
382,76,7,133,221
383,10,1,12,6
384,181,8,934,393
385,34,2,165,50
386,4,0,0,2
387,7,0,2,3
388,15,1,8,11
389,125,0,651,179
390,4,0,8,3
391,44,4,5,78
392,8,0,20,3
393,474,3,9442,3060
394,3,0,7,3
395,0,0,0,0
396,17,1,0,17
397,4,0,1,4
398,111,11,247,277
399,278,10,1066,2032
400,67,6,136,151
401,0,0,0,0
402,10,1,2,7
403,6,0,2,3
404,12,1,6,8
405,10,0,1,3
406,20,1,2,16
407,16,1,3,14
408,34,3,142,52
409,41,4,1478,49
410,18,1,24,8
411,100,10,58,135
412,8,0,7,4
413,5,0,0,2
414,2,0,0,3
415,0,0,0,1
416,170,7,405,787
417,31,3,23,39
418,31,3,95,40
419,8,0,26,4
420,122,6,42,115
421,264,3,345,821
422,5,0,0,3
423,7,0,0,3
424,112,7,41,349
425,41,4,62,42
426,28,2,12,19
427,38,3,8,62
428,10,0,9,5
429,5,0,0,4
430,11,1,3,4
431,20,2,81,10
432,0,0,0,0
433,6,0,0,3
434,4,0,0,3
435,13,1,79,5
436,6,0,0,4
437,25,2,0,34
438,54,5,173,67
439,51,5,106,40
440,2,0,5,3
441,207,6,2322,530
442,12,1,2,7
443,80,1,11,102
444,4,0,17,3
445,12,1,0,6
446,22,2,29,26
447,3,0,0,2
448,82,0,777,112
449,289,6,304,1466
450,6,0,0,4
451,69,1,67,80
452,5,0,39,5
453,35,3,1096,50
454,73,7,2,230
455,20,2,39,10
456,100,10,16,116
457,34,2,31,18
458,123,5,22751,214
459,14,1,36,7
460,5,0,2,4
461,20,2,13,17
462,12,1,0,11
463,10,1,1,8
464,5,0,0,4
465,12,1,4,7
466,30,3,13,20
467,4,0,0,3
468,1,0,4,2
469,30,3,0,28
470,151,1,1045,272
471,25,2,163,18
472,4,0,0,3
473,70,6,107,68
474,3,0,2,2
475,4,0,7,3
476,4,0,1,3
477,129,8,462,250
478,20,2,9,11
479,200,2,308,438
480,72,7,4,64
481,5,0,13,3
482,9,0,5,6
483,5,0,5,3
484,10,1,27,6
485,130,3,3627,235
486,20,0,4,15
487,13,1,1,7
488,18,1,22,17
489,22,1,15,17
490,7,0,7,2
491,10,0,18,5
492,11,0,0,6
493,12,1,80,9
494,9,0,8,5
495,15,1,0,10
496,24,2,7,30
497,9,0,0,0
498,10,1,44,0
499,122,12,72,395
500,24,1,103,33
